2026-02-28 16:55:26,394 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2026-02-28 16:55:26,443 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2026-02-28 16:55:26,443 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2026-02-28 16:55:26,443 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2026-02-28 16:55:26,443 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2026-02-28 16:55:26,443 INFO  SwAddin.cs: 197 - Setting up callbacks
2026-02-28 16:55:26,456 INFO  SwAddin.cs: 201 - Setting up command manager
2026-02-28 16:55:26,456 INFO  SwAddin.cs: 204 - Adding command manager
2026-02-28 16:55:26,459 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2026-02-28 16:55:26,459 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2026-02-28 16:55:26,459 INFO  SwAddin.cs: 210 - Adding event handlers
2026-02-28 16:55:26,530 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2026-02-28 17:21:49,029 INFO  SwAddin.cs: 294 - Assembly export called for file HAR7-910
2026-02-28 17:21:49,031 INFO  SwAddin.cs: 299 - Save is required
2026-02-28 17:21:49,032 INFO  SwAddin.cs: 313 - Saving assembly
2026-02-28 17:21:49,033 INFO  SwAddin.cs: 316 - Opening property manager
2026-02-28 17:21:49,050 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from HAR7-910
2026-02-28 17:21:49,061 INFO  ExportHelperExtension.cs: 1136 - Found 44 in HAR7-910
2026-02-28 17:21:49,063 INFO  ExportHelperExtension.cs: 1145 - Found 7 features of type [CoordSys] in HAR7-910
2026-02-28 17:21:49,064 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-02-28 17:21:49,067 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2026-02-28 17:21:49,068 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from HAR7-910.stp-1
2026-02-28 17:21:49,068 INFO  ExportHelperExtension.cs: 1136 - Found 24 in HAR7-910.stp-1
2026-02-28 17:21:49,069 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in HAR7-910.stp-1
2026-02-28 17:21:49,070 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from HAR7-910
2026-02-28 17:21:49,070 INFO  ExportHelperExtension.cs: 1136 - Found 44 in HAR7-910
2026-02-28 17:21:49,071 INFO  ExportHelperExtension.cs: 1145 - Found 6 features of type [RefAxis] in HAR7-910
2026-02-28 17:21:49,071 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-02-28 17:21:49,071 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2026-02-28 17:21:49,071 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from HAR7-910.stp-1
2026-02-28 17:21:49,073 INFO  ExportHelperExtension.cs: 1136 - Found 24 in HAR7-910.stp-1
2026-02-28 17:21:49,073 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in HAR7-910.stp-1
2026-02-28 17:21:49,404 INFO  SwAddin.cs: 339 - Loading config tree
2026-02-28 17:21:49,409 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2026-02-28 17:21:49,414 INFO  SwAddin.cs: 344 - Showing property manager
2026-02-28 17:21:51,854 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:22:20,328 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:22:32,539 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:22:33,535 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:22:35,050 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:22:45,691 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:23:23,405 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:23:37,986 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:23:39,257 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:24:00,064 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:24:08,668 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:24:09,853 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:24:10,899 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:24:23,584 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:24:32,852 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:24:33,910 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:24:34,914 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:24:42,921 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:24:51,921 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:24:53,050 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:24:53,986 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:25:01,855 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:25:11,775 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:25:12,957 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:25:13,966 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-02-28 17:25:17,888 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2026-02-28 17:25:18,551 INFO  ExportHelperExtension.cs: 347 - Creating joint link1
2026-02-28 17:25:18,777 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child link1 failed
2026-02-28 17:25:21,269 INFO  ExportHelperExtension.cs: 347 - Creating joint link2
2026-02-28 17:25:21,318 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent link1 to child link2 failed
2026-02-28 17:25:24,582 INFO  ExportHelperExtension.cs: 347 - Creating joint link3
2026-02-28 17:25:24,669 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent link2 to child link3 failed
2026-02-28 17:25:26,126 INFO  ExportHelperExtension.cs: 347 - Creating joint link4
2026-02-28 17:25:26,175 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent link3 to child link4 failed
2026-02-28 17:25:27,983 INFO  ExportHelperExtension.cs: 347 - Creating joint link5
2026-02-28 17:25:28,037 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent link4 to child link5 failed
2026-02-28 17:25:28,399 INFO  ExportHelperExtension.cs: 347 - Creating joint link6
2026-02-28 17:25:28,451 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent link5 to child link6 failed
2026-02-28 17:25:28,707 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from HAR7-910
2026-02-28 17:25:28,714 INFO  ExportHelperExtension.cs: 1136 - Found 45 in HAR7-910
2026-02-28 17:25:28,715 INFO  ExportHelperExtension.cs: 1145 - Found 7 features of type [CoordSys] in HAR7-910
2026-02-28 17:25:28,715 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-02-28 17:25:28,716 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
